Dish Name,Calories,Carbohydrates,Protein,Fats,Free_Sugar,Fibre,Sodium,Calcium,Iron,Vitamin_C,Folate
hot tea (garam chai),30,4.5,1.0,1.0,4.0,0.0,20,40,0.1,0.5,5
instant coffee,10,2.0,0.3,0.2,1.8,0.0,5,5,0.1,0.0,2
espresso coffee,9,1.7,0.2,0.1,1.5,0.0,5,3,0.1,0.0,2
iced tea,15,3.5,0.0,0.0,3.5,0.0,5,2,0.1,5,2
raw mango drink (aam panna),45,11,0.3,0.1,9,1.0,80,10,0.3,40,15
fruit punch (fresh juices),50,12,0.3,0.1,11,0.5,10,10,0.2,35,20
fruit punch (squashes),30,7,0.1,0.1,6.5,0.2,10,5,0.1,15,10
lemonade,25,6,0.1,0.0,6,0.1,30,5,0.1,10,5
lem-o-gin,28,6.5,0.1,0.0,6.2,0.1,30,5,0.1,10,5
cumin infused water (jeera water),10,2,0.2,0.1,1.5,0.5,180,10,0.5,3,5
coco pine cooler,40,8,0.5,1.2,7,0.5,25,20,0.2,10,15
summer cooler,35,8,0.5,0.1,7,0.5,10,10,0.3,80,40
hot cocoa,90,12,3.5,3.5,10,1.0,30,120,0.5,2,15
cold coffee with ice cream,120,18,3,4,15,0.5,30,80,0.5,2,15
banana milkshake,95,16,3,2.5,14,1.0,30,100,0.3,6,20
mango milkshake,90,15,3,2.5,14,0.8,30,100,0.3,15,50
pineapple milkshake,85,14,3,2.3,13,0.5,30,90,0.2,10,20
orange milkshake,85,14,3,2.5,13,0.5,30,100,0.2,15,20
egg nog,110,10,5,6,9,0.0,50,120,0.5,3,40
sweet lassi (meethi lassi),80,12,3,3,10,0.0,40,120,0.1,1,20
lassi (salted),60,5,3.5,3,4,0.0,80,120,0.1,1,20
cheese and chilli sandwich,260,30,9,12,3,3,450,150,1.5,10,20
egg sandwich (ande ka sandwich),280,28,12,14,2,2,450,140,2,0,20
cucumber sandwich (kheere sandwich),180,26,5,6,2,3,350,100,1,2,15
cheese and pineapple sandwich,270,30,8,12,5,2.5,500,180,1.2,4,15
cheese and tomato sandwich,260,28,8,12,3,2,480,170,1.1,5,15
chicken sandwich,240,24,14,10,2,2,350,90,1.5,0,15
peanut and tomato sandwich,290,28,10,15,3,4,350,100,1.8,4,20
rainbow sandwich,260,32,7,10,4,3,500,150,1.2,3,12
club sandwich,280,22,10,16,2,2,450,120,1.2,6,20
vegetarian club sandwich,220,24,6,10,2,3,350,120,1.0,6,20
pin wheel sandwich,300,22,9,18,2,2,350,100,1.3,2,12
carrot apple sandwich,210,30,5,8,6,4,300,120,1.5,5,20
salami sandwich,280,22,9,16,2,2,600,80,1.3,1,15
vegetable mayo sandwich,260,24,5,16,3,3,350,90,1.0,10,18
egg tomato sandwich,240,26,10,11,2,2,400,110,1.5,2,15
sweet open sandwich,230,35,5,7,12,3,200,80,1.2,2,15
mushroom cheese sandwich (toasted),250,22,9,14,2,2,450,180,1.0,2,15
cheese tomato sandwich (toasted),250,22,8,14,3,2,450,170,1.0,6,15
pea potato sandwich (toasted),180,26,5,6,2,3,250,80,1.2,12,20
paneer pea sandwich (toasted),260,24,12,12,6,2,300,250,1.5,5,40
chicken sandwich (toasted),200,20,14,7,2,2,300,100,1.2,5,20
pea keema sandwich (toasted),210,22,12,8,2,3,280,80,1.5,5,20
classic club sandwich,260,22,9,14,2,2,300,110,1.2,10,30
sesame toast,350,30,6,18,2,3,150,80,1.0,5,10
cracked wheat porridge,120,18,4,3,5,2,20,80,0.5,5,20
semolina porridge,150,22,4,4,6,1.5,30,100,0.6,5,25
oatmeal porridge,110,18,4,3,5,2,20,80,0.5,5,25
cornflakes with milk,150,22,5,4,10,1,30,120,0.5,5,40
rice flakes (poha),140,25,3.5,3,6,1,20,80,0.6,5,20
wheat flakes,140,25,4,3,6,1,20,90,0.6,5,20
murmura (puffed rice),130,28,2.5,1,5,1,10,20,0.5,2,10
puffed wheat,130,28,3,1,5,1,10,25,0.5,2,10
boiled egg,155,1,13,11,1,0,140,50,1.2,0,25
fried egg,190,1,13,14,1,0,200,60,1.5,0,25
poached egg,140,1,13,9,1,0,150,50,1.5,0,25
scrambled egg,180,2,12,14,1,0,250,70,1.5,1,25
baked egg,200,2,12,14,1,1,300,120,1.5,0,30
plain omelette,200,2,12,15,1,0,200,60,1.5,1,30
stuffed omelette,220,3,11,17,2,1,250,100,1.2,5,35
pancake,220,30,6,8,5,1,150,80,1,1,10
keema pancake,240,20,12,12,3,1,150,60,1.2,5,15
vegetable pancake,150,18,4,6,3,3,120,50,1,15,25
jam fruit pancake,200,28,4,7,10,2,120,60,0.8,5,10
khoa coconut pancake,300,30,7,16,15,2,120,150,1.5,1,20
brown stock,25,1,3,1,0,0,50,20,0.5,1,5
vegetable stock,20,2,1,1,0,1,50,10,0.2,5,10
chicken stock,35,1,4,1,0,0,60,10,0.3,1,10
